id,title,budget,revenue,genres,original_language,release_date,popularity,vote_average,vote_count,runtime
482373,"Don't Breathe 2",10000000,45000000,Thriller;Horror,en,2021-08-12,218.627,7.5,1446,98
520763,"A Quiet Place Part II",61000000,297372261,Science Fiction;Thriller;Horror,en,2021-05-21,206.857,7.6,3900,97
614917,"King Richard",50000000,30000000,Drama;History,en,2021-11-18,165.356,8.1,690,145
587807,"Tom & Jerry",50000000,132000000,Comedy;Family;Animation,en,2021-02-10,215.194,7.0,1921,101
505262,"My Hero Academia: Two Heroes",12000000,31478826,Animation;Action;Adventure;Fantasy,ja,2018-08-03,218.059,8.0,730,96
576845,"Last Night in Soho",43000000,19000000,Thriller;Horror;Mystery,en,2021-10-21,196.763,7.5,1259,117
324857,"Spider-Man: Into the Spider-Verse",90000000,375540831,Action;Adventure;Animation;Science Fiction,en,2018-12-06,220.125,8.4,10827,117
574060,"Gunpowder Milkshake",30000000,344931,Action;Crime;Thriller,en,2021-07-14,207.904,6.3,510,114
508442,"Soul",150000000,136384442,Animation;Comedy;Fantasy;Family,en,2020-12-25,182.737,8.2,7650,101
637693,"Spirit Untamed",30000000,17635215,Animation;Adventure;Family;Western,en,2021-05-20,171.848,7.6,340,88
537915,"After",14000000,69497587,Romance;Drama,en,2019-04-11,268.248,7.2,6927,106
400160,"The SpongeBob Movie: Sponge on the Run",60000000,4700000,Family;Animation;Fantasy;Adventure;Comedy,en,2020-08-14,184.572,7.6,2418,95
335983,"Venom",116000000,855013954,Science Fiction;Action,en,2018-09-28,176.235,6.9,12879,112
634528,"The Marksman",23000000,22039969,Action;Thriller;Crime,en,2021-01-15,191.137,7.0,1098,108
454626,"Sonic the Hedgehog",85000000,306766470,Action;Science Fiction;Comedy;Family,en,2020-02-12,190.084,7.4,7499,99
581387,"Ashfall",17700000,61321941,Action;Adventure;Thriller,ko,2019-12-19,160.654,6.6,356,128
529106,"Major Grom: Plague Doctor",5000000,4493306,Action;Adventure,ru,2021-04-01,168.746,6.8,397,136
615457,"Nobody",17000000,61779301,Action;Crime;Thriller,en,2021-03-18,159.523,8.2,4167,92
619778,"Malignant",40000000,24640084,Thriller;Horror;Mystery,en,2021-09-01,131.582,7.0,1283,112
330457,"Frozen II",150000000,1450026933,Family;Animation;Adventure;Comedy;Fantasy,en,2019-11-20,153.238,7.3,8001,103
581392,"Peninsula",17000000,39657073,Action;Horror;Thriller,ko,2020-07-15,148.07,6.9,1809,116
474350,"It Chapter Two",79000000,473093228,Horror;Fantasy,en,2019-09-04,153.919,6.9,6685,169
590706,"Jiu Jitsu",23000000,99924,Action;Science Fiction;Fantasy,en,2020-11-20,147.057,5.0,466,102
337401,"Mulan",200000000,66800000,Adventure;Fantasy;Drama,en,2020-09-04,143.043,7.0,5478,115
522478,"Peter Rabbit 2: The Runaway",45000000,153000000,Family;Comedy;Adventure;Animation;Fantasy,en,2021-03-25,139.405,7.3,505,93
384018,"Fast & Furious Presents: Hobbs & Shaw",200000000,760098996,Action;Adventure;Comedy,en,2019-08-01,134.213,6.9,5603,137
522931,"Hitman's Wife's Bodyguard",70000000,70060492,Action;Comedy;Thriller,en,2021-06-14,117.632,6.9,1171,117
337167,"Fifty Shades Freed",55000000,368307760,Drama;Romance,en,2018-01-17,126.12,6.7,6731,105
512200,"Jumanji: The Next Level",125000000,800059707,Adventure;Comedy;Fantasy,en,2019-12-04,108.918,7.0,6681,123
412656,"Chaos Walking",125000000,26943020,Science Fiction,en,2021-02-24,127.039,6.8,1583,109
716612,"Spencer",18000000,14000000,Drama,en,2021-11-04,101.648,7.2,519,117
475557,"Joker",55000000,1074251311,Crime;Thriller;Drama,en,2019-10-02,121.868,8.2,19856,122
420818,"The Lion King",260000000,1667635327,Adventure;Family;Animation,en,2019-07-12,109.21,7.1,8241,118
602734,"Spiral: From the Book of Saw",20000000,36544468,Horror;Crime;Mystery,en,2021-05-12,126.744,6.2,1107,93
301528,"Toy Story 4",175000000,1073394593,Family;Adventure;Animation;Comedy;Fantasy;Drama,en,2019-06-19,115.898,7.6,7758,100
597890,"Voyagers",20000000,4284903,Science Fiction;Thriller,en,2021-04-08,104.296,6.2,439,108
284054,"Black Panther",200000000,1346739107,Action;Adventure;Science Fiction,en,2018-02-13,128.859,7.4,18634,134
585216,"Escape Room: Tournament of Champions",15000000,44888959,Horror;Thriller;Mystery,en,2021-07-01,109.617,6.8,967,88
458156,"John Wick: Chapter 3 - Parabellum",55000000,326709727,Action;Thriller;Crime,en,2019-05-15,106.675,7.4,7659,130
400155,"Hotel Transylvania 3: Summer Vacation",80000000,528600000,Family;Fantasy;Comedy;Animation,en,2018-06-28,125.543,6.9,3522,97
383498,"Deadpool 2",110000000,786365638,Action;Comedy;Adventure,en,2018-05-10,120.68,7.5,14310,119
577922,"Tenet",205000000,363129000,Action;Thriller;Science Fiction,en,2020-08-22,102.325,7.2,6737,150
287947,"Shazam!",80000000,365971656,Action;Comedy;Fantasy,en,2019-03-29,106.168,7.1,7302,132
447404,"Pokémon Detective Pikachu",150000000,433005346,Action;Adventure;Fantasy,en,2019-05-03,95.685,7.0,5431,105
643586,"Willy's Wonderland",5000000,431020,Action;Horror;Comedy,en,2021-02-12,102.508,6.4,455,88
439079,"The Nun",22000000,365550119,Horror;Mystery;Thriller,en,2018-09-05,87.131,5.8,5073,96
542178,"The French Dispatch",25000000,40000000,Comedy;Drama;Romance,en,2021-10-21,102.774,7.3,1140,108
630240,"Titane",6600000,5115725,Drama;Thriller;Horror,fr,2021-07-14,105.513,6.5,588,108
299537,"Captain Marvel",152000000,1128276090,Action;Adventure;Science Fiction,en,2019-03-06,111.449,6.9,12661,124
345940,"The Meg",150000000,530243742,Action;Science Fiction;Horror,en,2018-08-09,95.95,6.2,5700,113
297802,"Aquaman",160000000,1148461807,Action;Adventure;Fantasy,en,2018-07-06,103.378,6.9,11433,143
420809,"Maleficent: Mistress of Evil",185000000,491570967,Family;Fantasy;Adventure,en,2019-10-16,94.026,7.4,4918,119
333339,"Ready Player One",175000000,582890172,Science Fiction;Adventure;Action,en,2018-03-28,110.62,7.6,12550,140
495764,"Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)",75000000,201858461,Action;Crime,en,2020-02-05,110.666,7.0,8540,109
565028,"Candyman",25000000,77389310,Horror,en,2021-08-25,91.857,6.2,772,91
800497,"Werewolves Within",6500000,250811,Horror;Comedy,en,2021-06-25,105.137,6.2,252,97
336843,"Maze Runner: The Death Cure",62000000,288175335,Science Fiction;Action;Adventure;Thriller,en,2018-01-10,99.846,7.1,6257,143
521029,"Annabelle Comes Home",30000000,231252591,Horror;Thriller;Mystery,en,2019-06-26,78.816,6.4,2646,106
496243,"Parasite",11363000,257591776,Comedy;Thriller;Drama,ko,2019-05-30,94.014,8.5,13125,133
38700,"Bad Boys for Life",90000000,426505244,Thriller;Action;Crime,en,2020-01-15,92.796,7.2,6855,124
578701,"Those Who Wish Me Dead",20000000,23384502,Thriller,en,2021-05-05,91.237,6.8,1062,100
442249,"The First Purge",13000000,137056262,Horror;Action;Thriller,en,2018-07-04,82.151,6.0,3252,97
424277,"Annette",15500000,2576020,Drama;Romance,en,2021-07-06,87.053,7.0,379,140
260513,"Incredibles 2",200000000,1242805359,Action;Adventure;Animation;Family,en,2018-06-14,97.775,7.5,10715,118
454640,"The Angry Birds Movie 2",65000000,147792047,Animation;Comedy;Adventure;Family,en,2019-08-02,89.401,7.2,1231,97
181812,"Star Wars: The Rise of Skywalker",250000000,1074144248,Action;Adventure;Science Fiction,en,2019-12-18,83.499,6.5,7526,142
320288,"Dark Phoenix",200000000,252442974,Science Fiction;Action;Adventure,en,2019-06-05,71.948,6.0,5055,114
523931,"Megalodon",130178,5303,Action;Science Fiction;Horror;TV Movie,en,2018-08-10,74.724,5.7,202,90
268896,"Pacific Rim: Uprising",150000000,290061297,Action;Fantasy;Science Fiction;Adventure,en,2018-03-21,82.674,6.1,3890,111
373571,"Godzilla: King of the Monsters",170000000,386600138,Science Fiction;Action,en,2019-05-29,86.681,6.7,4650,132
524047,"Greenland",34000000,47800000,Action;Thriller;Drama,en,2020-07-29,75.864,7.2,3257,120
503314,"Dragon Ball Super: Broly",1000000,125002821,Action;Science Fiction;Animation,ja,2018-12-14,76.728,7.8,2181,101
602269,"The Little Things",30000000,29844012,Thriller;Crime;Drama,en,2021-01-28,73.493,6.4,1472,128
420817,"Aladdin",183000000,1047612394,Adventure;Fantasy;Romance;Family,en,2019-05-22,85.833,7.1,8376,128
531499,"The Tax Collector",30000000,942666,Action;Crime;Drama,en,2020-08-07,84.76,5.7,342,95
404368,"Ralph Breaks the Internet",175000000,529221154,Family;Animation;Comedy;Adventure,en,2018-11-20,84.047,7.2,6052,112
447332,"A Quiet Place",17000000,340677200,Horror;Drama;Science Fiction,en,2018-04-03,76.569,7.4,11286,91
346910,"The Predator",88000000,160542134,Science Fiction;Action;Adventure;Comedy,en,2018-09-05,87.889,5.6,3648,107
412117,"The Secret Life of Pets 2",80000000,155152550,Adventure;Animation;Comedy;Family,en,2019-05-24,77.507,7.0,2403,86
166428,"How to Train Your Dragon: The Hidden World",129000000,517526875,Animation;Family;Adventure,en,2019-01-03,80.765,7.8,4966,104
644083,"Twist",2000000,510466,Crime;Drama;Action,en,2021-01-22,71.894,6.1,133,92
360920,"The Grinch",75000000,508575295,Animation;Family;Comedy;Fantasy,en,2018-11-08,83.49,6.8,2897,85
340102,"The New Mutants",67000000,45534613,Horror;Science Fiction,en,2020-08-26,77.512,6.3,2544,94
480414,"The Curse of La Llorona",9000000,122033739,Horror;Thriller,en,2019-04-17,63.405,5.7,1844,93
427641,"Rampage",120000000,426245950,Action;Adventure;Science Fiction,en,2018-04-12,79.032,6.5,5718,107
480530,"Creed II",50000000,214215889,Drama,en,2018-11-21,74.164,6.9,4080,130
399579,"Alita: Battle Angel",170000000,404852543,Action;Science Fiction;Adventure,en,2019-01-31,88.096,7.2,7267,122
573699,"White Snake",11936735,61631776,Romance;Animation;Fantasy,zh,2019-01-11,80.84,7.8,275,99
527641,"Five Feet Apart",7000000,91500000,Romance;Drama,en,2019-03-14,80.196,8.3,4642,116
290859,"Terminator: Dark Fate",185000000,261119292,Action;Adventure;Science Fiction,en,2019-10-23,67.386,6.5,3912,128
481848,"The Call of the Wild",109000000,107604626,Adventure;Family;Drama,en,2020-02-19,62.164,7.6,2809,100
522938,"Rambo: Last Blood",50000000,91490353,Action;Thriller;Drama,en,2019-09-19,73.979,6.5,2930,89
363088,"Ant-Man and the Wasp",140000000,622674139,Action;Adventure;Science Fiction,en,2018-07-04,80.151,7.0,10804,119
800823,"The Kids Are Alright: Destination Asturias",5308245,3468053,Comedy;Family,es,2021-07-08,59.514,4.7,41,89
535845,"Brian Banks",10,4,Drama,en,2019-08-09,61.702,7.3,123,99
338952,"Fantastic Beasts: The Crimes of Grindelwald",200000000,653355901,Adventure;Fantasy;Drama,en,2018-11-14,61.556,6.9,8770,134
481084,"The Addams Family",40000000,203044905,Family;Animation;Comedy,en,2019-10-10,55.691,6.7,1713,86
599975,"Countdown",6500000,48021766,Horror;Thriller,en,2019-10-24,60.671,6.4,1474,90
458253,"Missing Link",100000000,26249469,Family;Animation;Comedy;Adventure;Fantasy,en,2019-04-04,59.062,7.0,652,95
424694,"Bohemian Rhapsody",52000000,894027543,Music;Drama;History,en,2018-10-24,66.655,8.0,14312,135
400535,"Sicario: Day of the Soldado",35000000,75836683,Action;Crime;Drama;Thriller,en,2018-06-27,67.586,6.9,2643,122
338967,"Zombieland: Double Tap",42000000,122801777,Horror;Comedy,en,2019-10-09,59.191,7.0,4323,99
508439,"Onward",200000000,141592359,Family;Animation;Adventure;Comedy;Fantasy,en,2020-02-29,59.268,7.8,4838,103
345887,"The Equalizer 2",62000000,102084362,Action;Thriller;Crime,en,2018-07-19,60.397,6.6,3850,121
522681,"Escape Room",9000000,155712077,Horror;Thriller;Mystery,en,2019-01-03,57.874,6.5,3602,100
513310,"Boss Level",45000000,2000000,Action;Science Fiction;Thriller,en,2021-02-19,68.499,6.9,908,101
514207,"Invasion",8819200,32104054,Science Fiction;Drama;Romance;Action,ru,2020-01-01,59.748,6.9,608,129
402900,"Ocean's Eight",70000000,297718711,Crime;Comedy;Action,en,2018-06-07,49.329,7.0,6910,111
718032,"Licorice Pizza",40000000,21000000,Drama;Comedy,en,2021-11-26,70.86,7.1,264,134
567690,"Dear Evan Hansen",28000000,15732069,Drama,en,2021-09-24,58.331,6.5,133,137
511987,"Crawl",13500000,89203432,Thriller;Horror;Action,en,2019-07-11,64.177,6.3,2434,88
359724,"Ford v Ferrari",97600000,225508210,Drama;Action;History,en,2019-11-13,57.579,8.0,5481,153
450465,"Glass",20000000,246941965,Thriller;Drama;Science Fiction,en,2019-01-16,59.406,6.7,6790,129
652004,"The Wolf of Snow Hollow",2000000,239828,Horror;Thriller,en,2020-10-23,51.396,6.2,216,84
499701,"Dora and the Lost City of Gold",49000000,119682635,Adventure;Comedy;Family,en,2019-08-08,51.728,6.8,1348,102
616651,"Stillwater",20000000,15987232,Drama;Crime;Thriller,en,2021-07-29,63.198,6.8,532,139
338970,"Tomb Raider",94000000,274650803,Action;Adventure;Fantasy,en,2018-03-05,42.268,6.4,6545,118
424783,"Bumblebee",135000000,467989645,Action;Adventure;Science Fiction,en,2018-12-15,54.545,6.7,4825,114
353081,"Mission: Impossible - Fallout",178000000,791017452,Action;Adventure,en,2018-07-13,77.067,7.4,6387,147
511809,"West Side Story",100000000,64146001,Drama;Romance;Crime,en,2021-12-08,48.854,7.5,375,156
348350,"Solo: A Star Wars Story",250000000,392952373,Science Fiction;Adventure;Action,en,2018-05-15,57.426,6.6,6852,135
406563,"Insidious: The Last Key",10000000,167184112,Horror;Mystery;Thriller,en,2018-01-03,47.816,6.2,2177,103
431580,"Abominable",75000000,179057149,Family;Animation;Adventure;Comedy,en,2019-09-19,48.343,7.6,1579,97
546554,"Knives Out",40000000,309232797,Comedy;Crime;Mystery,en,2019-11-27,47.83,7.9,8460,131
493922,"Hereditary",10000000,80239658,Horror;Mystery;Thriller,en,2018-06-07,51.288,7.2,5571,127
447200,"Skyscraper",125000000,292351275,Action;Thriller,en,2018-07-11,44.54,6.3,4048,102
449443,"Den of Thieves",30000000,80509622,Action;Thriller;Crime,en,2018-01-18,69.974,6.7,2247,140
567609,"Ready or Not",6000000,57615777,Comedy;Horror;Thriller,en,2019-08-21,43.266,7.1,3019,95
487297,"What Men Want",20000000,69766483,Comedy;Romance,en,2019-02-08,45.426,6.2,1097,117
338762,"Bloodshot",42000000,33542457,Action;Science Fiction,en,2020-03-05,60.824,6.8,4195,110
514847,"The Hunt",14000000,8621288,Action;Thriller;Horror,en,2020-03-11,42.783,6.6,2175,90
453405,"Gemini Man",138000000,173469516,Science Fiction;Action;Thriller,en,2019-10-02,48.718,6.4,4153,117
774456,"García y García",3404274,1163538,Comedy,es,2021-08-27,41.116,5.5,30,0
476968,"Paul, Apostle of Christ",5000000,22525668,Drama;History,en,2018-03-23,61.488,7.4,243,108
508763,"A Dog's Way Home",18000000,17643857,Drama;Adventure;Family,en,2019-01-10,44.396,7.2,839,96
466272,"Once Upon a Time… in Hollywood",95000000,374251247,Comedy;Drama;Thriller,en,2019-07-24,47.799,7.4,10047,162
530915,"1917",100000000,374733942,War;Drama;Action;Thriller,en,2019-12-25,52.237,8.0,9377,119
448119,"Dolittle",175000000,245692007,Family;Fantasy;Adventure,en,2020-01-01,50.553,6.7,2868,101
454619,"Overboard",12000000,91244913,Romance;Comedy,en,2018-04-13,46.9,6.6,1123,112
479455,"Men in Black: International",110000000,252608480,Comedy;Science Fiction,en,2019-06-12,61.698,6.0,3808,115
442062,"Goosebumps 2: Haunted Halloween",35000000,93320380,Adventure;Comedy;Fantasy;Family;Horror,en,2018-10-11,44.981,6.1,1141,90
423204,"Angel Has Fallen",40000000,146661977,Action;Thriller,en,2019-08-21,52.746,6.5,2628,122
530385,"Midsommar",9000000,47980982,Horror;Drama;Mystery,en,2019-07-03,55.022,7.1,4525,148
454527,"Benedetta",24350000,2652725,Drama;History;Romance,fr,2021-07-09,56.714,6.9,390,131
428078,"Mortal Engines",100000000,83672673,Adventure;Science Fiction,en,2018-11-27,44.671,6.2,3713,129
522162,"Midway",100000000,127420861,War;History;Action;Drama,en,2019-11-06,44.427,7.1,1786,138
456740,"Hellboy",50000000,44664690,Fantasy;Action;Adventure;Science Fiction,en,2019-04-10,53.771,5.5,2672,121
399402,"Hunter Killer",40000000,31672678,Action;Thriller,en,2018-10-19,45.81,6.8,1640,121
515001,"Jojo Rabbit",14000000,82468705,Comedy;War;Drama,en,2019-10-18,41.267,8.1,7081,108
458723,"Us",20000000,255105930,Horror;Thriller;Mystery,en,2019-03-14,42.239,7.0,5602,116
712121,"Sweat",1619835,11546,Drama;Thriller,pl,2021-03-12,45.159,6.7,25,107
570670,"The Invisible Man",7000000,130234661,Thriller;Science Fiction;Horror,en,2020-02-26,41.645,7.2,4388,124
627290,"Antebellum",15000000,6852361,Horror,en,2020-09-02,34.617,6.3,652,105
533642,"Child's Play",10000000,44902237,Horror,en,2019-06-19,42.804,6.0,1480,90
579047,"Reminiscence",68000000,18717947,Science Fiction;Mystery,en,2021-08-19,43.998,6.9,1063,116
502416,"Ma",5000000,51749995,Horror;Thriller,en,2019-05-29,38.975,5.8,1679,99
431693,"Spies in Disguise",100000000,171616764,Animation;Action;Adventure;Comedy;Family,en,2019-12-04,53.716,7.7,2178,102
331482,"Little Women",40000000,216601214,Drama;Romance,en,2019-12-25,50.961,7.9,4584,135
522627,"The Gentlemen",22000000,114996853,Crime;Action;Comedy,en,2019-12-03,45.411,7.7,3938,113
434555,"The Possession of Hannah Grace",7700000,41036181,Horror;Drama,en,2018-11-29,38.708,5.6,1017,86
580175,"Another Round",5150000,21700000,Comedy;Drama,da,2020-09-24,29.884,7.7,1742,117
347375,"Mile 22",35000000,66308758,Action;Thriller,en,2018-08-16,37.407,6.2,1767,95
505954,"T-34",8000000,36220872,War;Action;Drama;History,ru,2018-12-27,30.301,7.0,655,139
429351,"12 Strong",35000000,67450815,War;Drama;Action;History,en,2018-01-16,40.654,6.1,2247,130
500664,"Upgrade",5000000,16593554,Action;Thriller;Science Fiction,en,2018-05-31,52.79,7.5,3217,100
